,name,latitude,longitude,line
211,Regent's Park,51.52344,-0.14713,Bakerloo
212,Richmond,51.46343247,-0.302033247,District
213,Richmond,51.4632474,-0.300618047,District
214,Rickmansworth,51.64027898,-0.473521454,Metropolitan
215,Roding Valley,51.61691,+0.04264,Central
216,Rotherhithe,51.50089,-0.05211,East London
217,Royal Oak,51.519383,-0.187785,Hammersmith & City
218,Ruislip,51.57146,-0.42157,"Metropolitan, Piccadilly"
219,Ruislip Gardens,51.560711,-0.410587,Central
220,Ruislip Manor,51.57349,-0.41185,"Metropolitan, Piccadilly"
221,Russell Square,51.523243,-0.124336,Piccadilly
222,St.James's Park,51.49971,-0.13394,"Circle, District"
223,Seven Sisters,51.58318,-0.07495,Victoria
224,Shadwell,51.51115,-0.05693,East London
225,Shepherd's Bush,51.50474,-0.21881,Central
226,Shepherd's Bush Market,51.506063,-0.226231,Hammersmith & City
227,Sloane Square,51.49258474,-0.156090904,"Central, District"
228,Snaresbrook,51.58002,+0.02133,Central
229,South Acton,51.49960784,-0.270187631,London Overground
230,South Ealing,51.500801,-0.307856,Piccadilly
231,South Harrow,51.56461,-0.35210,Piccadilly
232,South Kensington,51.494066,-0.172791,"Circle, District, Piccadilly"
233,South Kenton,51.57044666,-0.308566354,Bakerloo
234,South Ruislip,51.556795,-0.398708,Central
235,South Wimbledon,51.41543048,-0.192262754,Northern
236,South Woodford,51.59088,+0.02726,Central
237,Southfields,51.444941,-0.206466,District
238,Southgate,51.63240,-0.12765,Piccadilly
239,Southwark,51.50384,-0.10478,Jubilee
240,St.John's Wood,51.53472,-0.17428,Jubilee
241,St.Paul's,51.515285,-0.097598,Central
242,Stamford Brook,51.494935,-0.246190,District
243,Stanmore,51.61895,-0.30241,Jubilee
244,Stepney Green,51.521884,-0.046546,"District, Hammersmith & City"
245,Stockwell,51.47224,-0.12270,"Northern, Victoria"
246,Stonebridge Park,51.54402388,-0.275978856,Bakerloo
247,Stratford,51.541208,-0.003776,"Central, Jubilee, London Overground"
248,Stratford,51.541146,-0.002675,"Central, Jubilee, London Overground"
249,Sudbury Hill,51.556998,-0.335949,Piccadilly
250,Sudbury Town,51.55093,-0.31598,Piccadilly
251,Surrey Quays,51.49365,-0.04816,"East London, Jubilee"
252,Swiss Cottage,51.54333,-0.17436,Jubilee
253,Temple,51.51114,-0.11341,"Circle, District"
254,Theydon Bois,51.67246,+0.10354,Central
255,Tooting Bec,51.43578971,-0.159635693,Northern
256,Tooting Broadway,51.42780008,-0.167910811,Northern
257,Tottenham Court Road,51.51640,-0.13027,"Central, Northern"
258,Tottenham Court Road,51.51672074,-0.13093911,"Central, Northern"
259,Tottenham Hale,51.588878,-0.059808,Victoria
260,Totteridge & Whetstone,51.63022,-0.17917,Northern
261,Tower Hill,51.509910,-0.076813,"Circle, District"
262,Tufnell Park,51.55663,-0.13813,Northern
263,Turnham Green,51.495143,-0.254060,District
264,Turnpike Lane,51.59031,-0.10308,Piccadilly
265,Upminster,51.55925,+0.25177,District
266,Upminster Bridge,51.55847,+0.23509,District
267,Upney,51.53824,+0.09998,District
268,Upton Park,51.53514,0.03373,"District, Hammersmith & City"
269,Uxbridge,51.54687,-0.47725,"Piccadilly, Metropolitan"
270,Vauxhall,51.48603,-0.12369,Victoria
271,Victoria,51.49662869,-0.14400853,"Circle, District, Victoria"
272,Walthamstow Central,51.58293,-0.01996,Victoria
273,Wanstead,51.57565,0.02864,Central
274,Wapping,51.50451,-0.05607,East London
275,Warren Street,51.52450,-0.13810,"Northern, Victoria"
276,Warwick Avenue,51.52329728,-0.183777837,Bakerloo
277,Waterloo,51.50322,-0.11328,"Bakerloo, Northern, Waterloo & City"
278,Watford,51.65741058,-0.41745306,Metropolitan
279,Wembley Central,51.55122817,-0.29577538,Bakerloo
280,Wembley Park,51.56355598,-0.279770242,"Jubilee, Metropolitan"
281,West Acton,51.51818,-0.28064,Central
282,West Brompton,51.48681,-0.19475,District
283,West Finchley,51.60922281219,-0.188711152265457,Northern
284,West Ham,51.527917,+0.004141,"District, Hammersmith & City, Jubilee"
285,West Hampstead,51.54678865,-0.191016868,Jubilee
286,West Hampstead,51.54657,-0.19055,Jubilee
287,West Hampstead,51.54755518,-0.190999685,London Overground
288,West Hampstead,51.54716,-0.19275,London Overground
289,West Harrow,51.5795432,-0.353144584,Metropolitan
290,West Kensington,51.490850,-0.205320,District
291,West Ruislip,51.569324,-0.436740,Central
292,Westbourne Park,51.520995,-0.201778,Hammersmith & City
293,Westminster,51.50121,-0.12489,"Circle, District, Jubilee"
294,White City,51.512206,-0.224226,Central
295,Whitechapel,51.51946,-0.05951,"District, East London, Hammersmith & City"
296,Willesden Green,51.54919,-0.22106,Jubilee
297,Willesden Junction,51.53181,-0.242350,London Overground
298,Willesden Junction,51.53032031,-0.229378995,Bakerloo
299,Wimbledon,51.42200,-0.20544,District
300,Wimbledon Park,51.43391,-0.19864,District
301,Wood Green,51.59709,-0.10939,Piccadilly
302,Woodford,51.60582,+0.03328,Central
303,Woodside Park,51.6181717295887,-0.185578887883903,Northern
