,name,postcode,latitude,longitude,popularity,price,rating
142,The Doric Arch,NW1 1DN,51.527996,-0.132049,0.9867582353625888,2.0,6.5
143,Lyttelton Arms,NW1 7JE,51.534532,-0.139251,0.978472820393435,2.0,6.3
144,Quinn's,NW1 8NY,51.543002,-0.142073,0.966569665929461,1.0,5.7
145,O'Neill's,NW1 2QS,51.528916,-0.126176,0.985366080782214,2.0,6.1
146,Royal George,NW1 1DG,51.528287,-0.131597,0.9944476778023512,2.0,6.0
148,The Rocket,NW1 2AL,51.528246,-0.128965,0.982765685019206,3.0,5.9
149,The Court,W1T 5AA,51.523067,-0.136878,0.9726364800372482,1.0,5.8
150,Green Man,NW1 3AU,51.523695,-0.143183,0.974817832615528,2.0,5.6
151,The Stags Head,W1W 6XW,51.519907,-0.143195,0.9667791875218252,1.0,5.7
152,Duke of York,W1H 5HT,51.517584,-0.164117,0.96916307763939,1.0,5.6
153,The Northumberland Arms,W1T 5AW,51.523533,-0.137327,0.9772087067861716,1.0,5.4
154,Ye Olde Cheshire Cheese,EC4A 2BU,51.514321,-0.10721,0.9835199627517168,2.0,8.6
155,The Culpeper,E1 6LP,51.516814,-0.072909,0.9875264812012572,2.0,8.8
156,The Rake,SE1 9AG,51.506131,-0.091223,0.9845605866604586,2.0,8.5
157,The Blackfriar,EC4V 4EG,51.512102,-0.103706,0.9902619019904552,2.0,8.2
158,Founder's Arms,SE1 9JH,51.508517,-0.101674,0.9931486439296938,2.0,8.3
159,Old Fountain,EC1V 9NU,51.526891,-0.089027,0.9819113025258992,2.0,8.5
160,The Understudy,SE1 9PX,51.507632,-0.113841,0.9906064486090096,1.0,8.9
161,Cittie of Yorke,WC1V 6BN,51.518437,-0.112948,0.9889931323478058,1.0,8.5
162,Carpenter's Arms,E2 6EG,51.523989,-0.067348,0.9557909440111744,2.0,9.0
163,The Pride of Spitalfields,E1 5LJ,51.518945,-0.071245,0.9637038761494588,1.0,8.5
164,The Old Bank of England,EC4A 2LT,51.513916,-0.111302,0.9886462577115586,1.0,8.2
165,The Three Johns,N1 9PF,51.532948,-0.109065,0.9807729018740542,1.0,9.0
166,Seven Stars,WC2A 2JB,51.51507,-0.113256,0.978258642765685,1.0,8.2
