,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police,metro,police
844,Hawkins Forge,SW11 1EJ,London Borough of Wandsworth,51.460702,-0.168879,1.0,6.5,0.978007216854848,159,0,1.0,1711.6373084744632,378.0461279638981,0,1
845,The Rocket,SW15 2JQ,London Borough of Wandsworth,51.465279,-0.213141,1.0,6.4,0.9854964497730184,99,1,3.0,482.5478757409851,120.42875492992248,1,1
846,The Golden Lion,SW6 3JJ,London Borough of Hammersmith & Fulham,51.46997,-0.210117,1.0,6.4,0.952219764870213,39,1,0.0,169.47046619240714,675.6712755706145,1,0
847,The Goat,SW11 1EQ,London Borough of Wandsworth,51.46097,-0.166612,1.0,6.4,0.9413735304388312,176,0,1.0,1594.6254213847965,393.7464690895564,0,1
848,"Draft House, Westbridge",SW11 3AG,London Borough of Wandsworth,51.478289,-0.170111,1.0,6.6,0.9432196484693284,85,0,1.0,1730.2509435890354,134.9419887604671,0,1
849,The Merchant,SW11 1HG,London Borough of Wandsworth,51.46085,-0.163391,1.0,6.3,0.9624234664183448,168,0,1.0,1407.05995625605,424.94591915923496,0,1
850,The Hope,SW17 7EG,London Borough of Wandsworth,51.446305,-0.165347,1.0,6.1,0.9529367943196368,23,0,0.0,916.5525980628472,1795.7120375571003,0,0
851,The Jolly Gardeners,SW18 4EA,London Borough of Wandsworth,51.446898,-0.189594,1.0,5.7,0.9404772436270517,100,0,0.0,1189.351456267466,1067.2684813956105,0,0
852,The Fox,SW15 6SE,London Borough of Wandsworth,51.460847,-0.217563,1.0,5.3,0.968206262367594,136,0,1.0,489.5313374975409,481.5471830129228,1,1
853,The Ship Tavern,WC2A 3HP,London Borough of Camden,51.5172349,-0.1192033,1.0,8.4,0.9837876847864044,218,1,1.0,94.21348200481734,406.2920998569631,1,1
854,Three Tuns Marylebone,W1H 6HP,City of Westminster,51.514499,-0.156007,1.0,8.1,0.9794110115236876,214,1,1.0,211.13978056395533,83.3454962506122,1,1
855,Fentiman Arms,SW8 1LA,London Borough of Lambeth,51.480974,-0.118235,1.0,7.9,0.9874030962635316,117,1,0.0,395.4542075462679,698.2305684766475,1,0
856,Shakespeares Head,W1F 7HZ,City of Westminster,51.513697,-0.139459,1.0,6.6,0.994310324758468,527,1,2.0,202.91675705443703,260.27827728234354,1,1
857,Leicester Arms,W1B 5DP,City of Westminster,51.510587,-0.137685,1.0,6.3,0.975590734489582,840,0,1.0,263.7323168077325,267.62842521215623,1,1
858,The Plough,WC1A 1LH,London Borough of Camden,51.517786,-0.125891,1.0,6.3,0.9734396461413106,334,2,0.0,339.94524789135414,598.8799593974117,1,0
