,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police
441,Old Swan,W8 4DP,Royal Borough of Kensington and Chelsea,51.508947,-0.195007,1.0,6.3,0.9833104411593528,101,1,0.0,88.8831942968618,570.2691339307033
442,Duke of Cornwall,W6 9PH,London Borough of Hammersmith & Fulham,51.490441,-0.223717,1.0,5.2,0.9627517169130484,252,2,1.0,218.72456268140454,462.250792847236
443,The Pavilion,W12 0HQ,London Borough of Hammersmith & Fulham,51.518829,-0.227764,1.0,6.3,0.9598021184961004,67,0,0.0,776.0718957836519,1235.8085876854107
444,The Castle,W11 1LU,Royal Borough of Kensington and Chelsea,51.516616,-0.205744,1.0,6.3,0.9316819927831452,228,1,1.0,381.04297942857266,315.2670899175973
445,Earl of Lonsdale,W11 2QA,Royal Borough of Kensington and Chelsea,51.513457,-0.202713,1.0,6.2,0.9698149225934116,125,0,0.0,663.6570135041503,533.5152458888601
446,The Hand & Flower,SW6 2ES,London Borough of Hammersmith & Fulham,51.477637,-0.18982,1.0,6.2,0.8974880689093238,113,1,0.0,460.9357608626455,731.5690234084035
447,The Goat,W8 5NP,Royal Borough of Kensington and Chelsea,51.502137,-0.187872,1.0,6.1,0.9760121056920033,103,1,0.0,368.52687633128215,871.5560333432144
448,Gloucester Arms,SW7 4RB,Royal Borough of Kensington and Chelsea,51.498752,-0.183882,1.0,5.9,0.9603771388662554,108,1,0.0,612.4846888840087,978.3132123624479
449,Aragon House,SW6 4XG,London Borough of Hammersmith & Fulham,51.472542,-0.200321,1.0,5.6,0.9391200093120708,57,1,0.0,286.2287974659657,772.7723323070827
450,Prince of Wales,W8 4EP,Royal Borough of Kensington and Chelsea,51.502326,-0.19078,1.0,5.4,0.9536561517867536,122,1,0.0,245.58555110954075,738.5250530306533
451,Oyster Rooms,SW6 1AA,London Borough of Hammersmith & Fulham,51.48028,-0.194625,1.0,5.3,0.9879455243859854,157,1,1.0,18.51341637925189,379.60375264022326
452,Greyhound,W8 5EP,Royal Borough of Kensington and Chelsea,51.500979,-0.189491,1.0,5.2,0.959248050285182,125,1,0.0,210.1549475214956,704.9252755016425
453,Small Beer,N8 8PT,London Borough of Haringey,51.580374,-0.123084,1.0,8.6,0.9498195786287976,83,0,2.0,1590.1927016126606,116.7931197033784
454,The Salisbury Hotel,N4 1JX,London Borough of Haringey,51.58205,-0.099412,1.0,8.1,0.9856058666045862,130,0,0.0,952.7915094850715,882.33071883049
455,Antwerp Arms,N17 8AS,London Borough of Haringey,51.601866,-0.074851,1.0,8.2,0.9749365615178676,108,0,0.0,1779.1730289523202,2311.0360777056394
456,The Mossy Well,N10 3SH,London Borough of Haringey,51.590872,-0.141728,1.0,8.1,0.965722267489233,50,0,0.0,1540.5964827352075,1709.779717733281
457,The Westbury,N22 6SA,London Borough of Haringey,51.593561,-0.098263,1.0,7.6,0.9820137353043884,126,1,1.0,491.3345188963179,483.9826705966457
458,The Kings Head,N8 8AA,London Borough of Haringey,51.578209,-0.124311,2.0,7.9,0.9484227680130368,80,0,2.0,1470.4034207990821,90.01573047461113
459,The Maid of Muswell,N10 2DP,London Borough of Haringey,51.598682,-0.138805,1.0,7.6,0.9545128622977536,19,0,0.0,1369.5652738096728,1853.7417731442067
460,Ye Olde Cherry Tree,N14 6EN,London Borough of Enfield,51.625193,-0.124021,1.0,7.7,0.9564846932836688,14,0,0.0,839.6191454152051,1632.8853054509366
461,The Park Inn,N22 7BN,London Borough of Haringey,51.598882,-0.122629,1.0,7.0,0.932545687347224,50,0,0.0,909.0151476619094,754.6323488806273
462,The Ranelagh,N11 2EU,London Borough of Haringey,51.608727,-0.127178,1.0,7.2,0.984230008148062,53,1,0.0,282.38123214272497,1349.513270416306
463,Three Compasses,N8 7NX,London Borough of Haringey,51.58744,-0.118687,1.0,7.2,0.973786520777558,149,0,2.0,1124.45387134737,357.5994937716102
464,"Ortaköy, Shisha Lounge Bar",N22 6UP,London Borough of Haringey,51.594699,-0.112428,1.0,6.7,0.9260551740193226,193,1,0.0,338.70669550107107,692.4643038886677
465,The Duke of Edinburgh,N22 6UP,London Borough of Haringey,51.594746,-0.112583,1.0,6.7,0.8782213944825981,194,1,0.0,341.4362710013922,687.5572746632124
466,Earl Haig Hall,N8 9TH,London Borough of Haringey,51.580708,-0.121688,1.0,7.1,0.5939704341752997,94,0,2.0,1671.1787473533907,219.19948580187895
467,Spouter's Corner,N22 6EJ,London Borough of Haringey,51.596748,-0.108977,1.0,6.5,0.993071819345827,229,1,0.0,47.539328780755035,515.3539358212721
468,The Famous Royal Oak,N10 3QY,London Borough of Haringey,51.588349,-0.141338,1.0,7.0,0.913886625538354,51,0,0.0,1270.9350782531608,1499.769331842841
469,The Old Ale Emporium,N4 1EU,London Borough of Haringey,51.578009,-0.099125,1.0,7.0,0.9763659643813292,139,0,0.0,875.1952696497441,929.207791660243
